236,1810
1941,1079
1470,1686
1977,86
137,394
222,720
1683,1923
1978,1805
1668,768
1713,1791
729,534
227,1336
1671,1389
1698,1808
1517,972
399,1805
746,1253
799,1949
777,412
488,628
1371,1135
1282,1990
441,1279
102,593
1517,1519
286,1575
503,1047
634,1901
854,1387
1955,1267
1214,1127
40,426
1598,656
1337,1012
456,452
1159,1734
446,22
66,351
1435,407
1550,409
1333,411
267,795
1392,231
1745,1495
1430,1058
1476,1117
1081,104
82,968
1237,665
190,1268
264,1050
907,1457
1834,712
1459,798
570,458
110,538
618,262
1508,1888
478,204
612,1477
1504,546
1731,586
1398,934
1202,385
1065,690
1845,1853
1188,944
1862,550
404,1968
1299,212
1343,1287
403,59
167,750
955,566
7,16
1023,1282
1180,1924
1284,473
824,127
77,1622
1859,620
1204,255
73,1372
1099,734
833,1895
546,1548
1316,921
1895,1564
331,781
149,1537
944,197
1127,1258
1375,226
1446,1857
1016,262
178,784
4,1933
1234,861
502,272
1348,1706
1685,347
1637,1631
692,92
1375,940
634,1858
175,1791
1816,1902
794,859
1720,1173
1206,1856
1666,79
689,893
1686,1463
1521,1587
927,1260
807,28
348,132
1263,805
516,1232
840,716
314,910
702,1018
780,95
101,1919
216,515
105,1909
1372,1119
830,1910
1417,708
1677,1409
1634,26
835,515
11,920
331,1957
1187,1506
1373,410
1670,1761
735,1262
1500,162
986,161
384,330
1716,909
557,943
1916,900
556,1999
594,510
692,531
695,1370
113,1224
350,1691
439,1472
7,801
103,1011
406,866
1281,851
1408,1609
1101,1581
1503,1222
134,768
1517,331
1304,239
1980,1779
638,1111
891,1650
909,1611
132,1943
1506,1174
42,1931
1480,1968
1909,860
1876,307
1848,668
808,478
1978,1683
120,1910
1863,1160
98,703
644,399
183,894
1789,207
1013,1906
1263,869
1630,786
1437,588
1114,257
156,1670
1178,1208
1202,1993
1815,801
145,1919
1214,25
302,1547
1542,1359
1100,937
854,1126
1650,1911
1282,1276
1799,709
71,1040
516,629
